session_id;date;user_id;user_age;pc_zone;hours_played;extra_bar_spent;total_paid;payment_method;game_played;client_rating;discount_promo
SESS-15256;2026-08-14 22:58:00;USR-1142;20;PS5;3;600;750;App;Apex Legends;4.0;0
SESS-14949;2026-08-31 16:41:00;USR-1231;18;VIP;2;0;400;Card;Valorant;5.0;0
SESS-12146;2026-08-21 18:21:00;USR-1747;16;Standard;3;0;300;Card;Dota 2;4.5;0
SESS-10501;2026-08-13 17:12:00;USR-1147;16;VIP;1;330;200;Card;Dota 2;4.0;0
SESS-14462;2026-08-09 11:41:00;USR-1532;16;VIP;2;500;400;Card;Minecraft;4.0;0
SESS-14119;2026-08-11 18:28:00;USR-1668;26;Standard;1;50;100;Card;Valorant;3.0;0
SESS-11281;2026-08-04 17:21:00;USR-1396;17;Standard;8;400;800;Card;Minecraft;4.0;0
SESS-15199;2026-08-23 08:08:00;USR-1507;14;Standard;4;800;400;Card;Dota 2;3.0;0
SESS-15033;2026-08-22 16:57:00;USR-1208;20;Standard;3;360;300;Card;Dota 2;3.0;0
SESS-10240;2026-08-24 01:54:00;USR-1130;26;Standard;3;360;300;App;PUBG;4.0;0
SESS-11782;2026-08-04 07:48:00;USR-1660;14;VIP;12;700;2400;App;CS2;2.0;0
SESS-11345;2026-08-04 10:31:00;USR-1638;21;Standard;2;0;200;Card;CS2;5.0;0
SESS-14832;2026-08-12 04:10:00;USR-1107;16;Standard;1;50;100;App;Deadlock;4.0;0
SESS-10381;2026-08-08 15:47:00;USR-1572;26;Standard;2;240;200;Card;Valorant;4.0;0
SESS-12414;2026-08-06 01:30:00;USR-1467;22;Standard;3;360;300;Card;CS2;4.5;0
SESS-12357;2026-08-02 04:38:00;USR-1478;22;VIP;2;500;400;Card;CS2;3.0;0
SESS-13063;2026-08-27 16:52:00;USR-1430;17;VIP;2;200;400;Card;CS2;4.5;0
SESS-10351;2026-08-15 17:27:00;USR-1617;17;Standard;2;400;200;Card;Minecraft;4.0;0
SESS-12416;2026-08-01 01:02:00;USR-1085;16;Standard;4;0;400;Card;Dota 2;4.0;0
SESS-14774;2026-08-03 07:24:00;USR-1063;24;Standard;2;240;200;Card;PUBG;4.5;0
SESS-14358;2026-08-17 01:39:00;USR-1319;22;Bootcamp;8;890;1080;Card;Valorant;4.0;1
SESS-10491;2026-08-27 17:48:00;USR-1209;24;Standard;1;50;100;Card;Dota 2;3.0;0
SESS-10553;2026-08-13 23:24:00;USR-1495;16;Standard;4;320;400;Card;Dota 2;5.0;0
SESS-14200;2026-08-25 00:31:00;USR-1711;34;PS5;2;0;500;Card;CS2;5.0;0
SESS-14430;2026-08-29 17:32:00;USR-1736;24;PS5;2;160;500;Card;Valorant;4.0;0
SESS-13271;2026-08-24 14:25:00;USR-1142;20;Standard;2;100;200;Card;CS2;4.5;0
SESS-14764;2026-08-29 21:42:00;USR-1232;20;Bootcamp;2;0;300;Card;Apex Legends;5.0;0
SESS-10033;2026-08-02 13:54:00;USR-1481;21;Standard;12;0;1200;App;Valorant;4.0;0
SESS-10084;2026-08-23 08:59:00;USR-1270;34;Bootcamp;2;0;300;Cash;Apex Legends;4.5;0
SESS-15188;2026-08-28 07:38:00;USR-1412;32;PS5;2;160;500;App;Minecraft;4.0;0
SESS-13809;2026-08-20 18:32:00;USR-1148;25;Standard;3;600;270;Card;CS2;4.0;1
SESS-12809;2026-08-08 20:45:00;USR-1079;20;VIP;3;0;600;Card;CS2;3.0;0
SESS-10712;2026-08-17 13:43:00;USR-1092;21;Bootcamp;5;350;750;Cash;CS2;4.0;0
SESS-14624;2026-08-29 06:11:00;USR-1528;16;Standard;4;320;360;Card;Valorant;4.0;1
SESS-14221;2026-08-16 13:29:00;USR-1585;19;Bootcamp;5;500;750;Card;Dota 2;5.0;0
SESS-10279;2026-08-29 19:08:00;USR-1490;18;VIP;1;330;180;Card;CS2;4.5;1
SESS-13409;2026-08-05 03:57:00;USR-1732;28;Standard;4;320;400;Card;CS2;4.0;0
SESS-14063;2026-08-04 04:57:00;USR-1442;30;Standard;3;150;300;Card;Dota 2;2.0;0
SESS-14271;2026-08-06 12:18:00;USR-1766;21;Standard;1;0;90;App;Minecraft;4.5;1
SESS-11231;2026-08-03 02:58:00;USR-1337;15;VIP;3;0;540;Card;Dota 2;4.0;1
SESS-10248;2026-08-03 12:44:00;USR-1638;21;Standard;8;0;800;Card;CS2;2.0;0
SESS-14417;2026-08-05 12:25:00;USR-1326;26;Standard;3;0;270;Cash;Deadlock;4.5;1
SESS-11186;2026-08-05 13:30:00;USR-1682;14;VIP;2;0;400;Card;CS2;4.0;0
SESS-12059;2026-08-17 16:38:00;USR-1765;19;Bootcamp;8;650;1200;Card;CS2;5.0;0
SESS-14247;2026-08-13 06:48:00;USR-1015;16;VIP;2;0;360;Card;CS2;4.5;1
SESS-12939;2026-08-26 06:50:00;USR-1724;27;PS5;3;0;750;App;GTA V;5.0;0
SESS-10373;2026-08-29 04:53:00;USR-1155;24;Bootcamp;3;850;450;Card;CS2;3.0;0
SESS-15272;2026-08-18 16:46:00;USR-1321;15;Standard;2;240;200;Card;Dota 2;2.0;0
SESS-14233;2026-08-17 01:28:00;USR-1017;14;Standard;2;0;180;Card;CS2;4.0;1
SESS-10167;2026-08-10 22:36:00;USR-1642;16;Standard;1;50;100;Card;CS2;4.0;0
SESS-13535;2026-08-16 05:05:00;USR-1026;25;VIP;3;610;600;Card;Dota 2;3.0;0
SESS-13433;2026-08-03 06:51:00;USR-1596;24;Standard;2;400;200;Card;Dota 2;5.0;0
SESS-12341;2026-08-29 18:32:00;USR-1540;20;PS5;3;240;750;Card;CS2;4.0;0
SESS-10015;2026-08-20 01:42:00;USR-1422;16;VIP;3;0;600;App;Deadlock;5.0;0
SESS-11419;2026-08-13 05:52:00;USR-1188;16;VIP;1;150;200;App;CS2;3.0;0
SESS-11702;2026-08-22 06:26:00;USR-1054;17;Standard;8;0;800;Cash;CS2;1.0;0
SESS-12138;2026-08-01 20:55:00;USR-1265;22;Bootcamp;2;0;270;Card;Valorant;4.0;1
SESS-10418;2026-08-10 22:17:00;USR-1327;16;Standard;3;0;300;Card;CS2;5.0;0
