session_id;date;user_id;birth_date;gender;pc_zone;hours_played;extra_bar_spent;total_paid;payment_method;game_played;client_rating;discount_promo
SESS-12412;2026-08-18 01:58:11;USR-1205;2004-03-11;M;Bootcamp;8;1040;1200;Card;Valorant;4.0;0
SESS-13470;2026-08-28 17:19:20;USR-1602;1994-01-19;M;Standard;4;1000;400;Card;Cyberpunk 2077;;0
SESS-14236;2026-08-16 23:33:48;USR-1621;2011-12-21;M;Standard;12;480;1200;App;CS2;;0
SESS-11945;2026-08-23 11:31:30;USR-1063;2005-12-17;F;Bootcamp;4;560;540;App;CS2;4.5;1
SESS-12188;2026-08-10 13:37:36;USR-1169;2007-04-13;F;Bootcamp;4;0;600;Card;Apex Legends;5.0;0
SESS-10421;2026-08-23 12:38:11;USR-1694;2012-01-19;M;Standard;2;0;200;App;Minecraft;;0
SESS-14981;2026-08-01 16:00:59;USR-1500;2010-08-07;M;Standard;3;0;270;Card;Valorant;4.5;1
SESS-11866;2026-08-19 19:27:28;USR-1115;2011-04-23;M;Bootcamp;3;0;450;Card;Dota 2;;0
SESS-14282;2026-08-04 19:31:37;USR-1657;2007-05-18;M;VIP;2;0;400;Card;CS2;;0
SESS-11941;2026-08-12 17:32:55;USR-1641;2001-10-10;M;Standard;3;0;300;App;CS2;4.5;0
SESS-14575;2026-08-15 19:09:29;USR-1438;2010-05-10;M;Standard;3;240;300;Cash;CS2;4.0;0
SESS-10813;2026-08-27 09:52:41;USR-1107;1996-01-10;F;VIP;3;900;600;Card;Dota 2;5.0;0
SESS-14966;2026-08-16 18:55:33;USR-1146;2006-03-03;M;Bootcamp;2;0;300;Card;Apex Legends;;0
SESS-10301;2026-08-08 20:07:31;USR-1636;2009-02-18;M;Standard;12;0;1080;App;Valorant;3.0;1
SESS-12496;2026-08-07 20:41:28;USR-1015;2006-01-06;M;Standard;2;160;200;App;Dota 2;5.0;0
SESS-12407;2026-08-30 00:01:26;USR-1750;2010-11-19;M;VIP;12;960;2400;App;CS2;5.0;0
SESS-11155;2026-08-27 17:58:02;USR-1789;2003-01-17;M;Bootcamp;5;680;750;App;CS2;;0
SESS-12223;2026-08-18 13:23:42;USR-1730;2010-07-07;M;Standard;12;0;1200;App;Minecraft;5.0;0
SESS-14368;2026-08-12 20:52:04;USR-1603;2004-12-20;F;Standard;1;80;100;Card;Valorant;4.0;0
SESS-14355;2026-08-20 21:39:58;USR-1084;2009-10-18;M;Standard;2;160;200;App;GTA V;3.0;0
SESS-14894;2026-08-03 12:16:41;USR-1081;1997-07-08;M;VIP;2;650;400;App;Dota 2;;0
SESS-12565;2026-08-07 14:54:19;USR-1064;2003-01-04;F;Standard;3;240;300;App;GTA V;4.5;0
SESS-15359;2026-08-08 10:22:02;USR-1095;2010-06-09;M;PS5;2;0;500;Cash;Valorant;;0
SESS-10227;2026-08-24 19:02:06;USR-1007;2006-10-02;M;Bootcamp;8;1106;1080;Card;Valorant;4.0;1
SESS-13337;2026-08-29 15:45:07;USR-1336;2011-02-07;M;Standard;2;80;200;Cash;Dota 2;;0
SESS-15116;2026-08-19 20:31:14;USR-1195;2005-11-17;M;VIP;3;0;600;App;CS2;;0
SESS-12550;2026-08-30 20:21:47;USR-1698;2008-06-25;M;Bootcamp;2;390;300;App;Valorant;;0
SESS-11931;2026-08-12 20:15:16;USR-1140;2008-01-12;M;Bootcamp;3;546;405;Card;Valorant;5.0;1
SESS-11612;2026-08-08 21:51:16;USR-1177;1999-03-17;M;Bootcamp;3;840;450;App;Dota 2;5.0;0
SESS-15399;2026-08-06 19:13:21;USR-1127;2011-07-10;M;Standard;3;0;300;Card;Valorant;3.0;0
SESS-12748;2026-08-21 16:22:59;USR-1600;2006-05-25;F;Standard;3;0;300;App;PUBG;4.5;0
SESS-15085;2026-08-08 16:08:51;USR-1053;2003-11-22;M;Standard;3;0;300;Card;Apex Legends;;0
SESS-14101;2026-08-23 22:58:07;USR-1221;2008-04-08;M;Bootcamp;2;0;300;App;CS2;;0
SESS-12481;2026-08-11 15:55:40;USR-1070;2005-10-03;M;Standard;2;0;200;App;CS2;4.0;0
SESS-14939;2026-08-22 15:27:22;USR-1143;2009-12-19;M;Bootcamp;3;0;405;App;Minecraft;;1
SESS-12053;2026-08-08 16:28:45;USR-1144;2001-08-15;M;Standard;2;320;200;App;Dota 2;;0
SESS-13872;2026-08-23 19:46:15;USR-1675;2004-10-24;M;VIP;3;448;540;Card;Valorant;4.0;1
SESS-10920;2026-08-25 04:53:18;USR-1086;2004-06-19;M;PS5;3;0;750;Card;CS2;4.5;0
SESS-15010;2026-08-10 15:33:14;USR-1644;1999-12-25;F;VIP;2;540;400;Card;PUBG;;0
SESS-11013;2026-08-02 18:14:17;USR-1620;2012-12-05;1;Standard;1;0;90;Cash;Minecraft;5.0;1
SESS-14129;2026-08-15 01:58:37;USR-1474;2011-06-08;M;PS5;8;0;1800;Cash;CS2;5.0;1
SESS-11504;2026-08-16 20:41:17;USR-1752;2005-09-10;M;VIP;2;0;400;Card;CS2;4.5;0
SESS-11517;2026-08-22 13:30:55;USR-1082;2002-08-01;M;Standard;1;0;100;Card;CS2;;0
SESS-15455;2026-08-15 13:31:32;USR-1049;2008-01-16;F;Standard;2;0;200;App;Dota 2;4.0;0
SESS-11387;2026-08-29 18:09:54;USR-1506;2003-04-14;M;PS5;2;224;450;Card;CS2;;1
SESS-15330;2026-08-15 15:57:05;USR-1059;2003-11-06;F;Bootcamp;4;0;600;Card;Apex Legends;;0
SESS-12042;2026-08-27 15:46:33;USR-1768;2006-04-17;F;Standard;4;448;360;App;CS2;4.0;1
SESS-12190;2026-08-23 18:15:13;USR-1122;2009-02-15;M;VIP;1;0;180;Cash;CS2;;1
SESS-15269;2026-08-16 16:48:09;USR-1151;1996-03-26;Мужской;Standard;2;500;200;Card;CS2;;0
SESS-10503;2026-08-27 01:47:55;USR-1108;1998-04-14;M;Standard;3;0;300;Card;Cyberpunk 2077;;0
SESS-12677;2026-08-09 19:17:51;USR-1517;2006-10-03;M;Bootcamp;2;240;300;Card;CS2;5.0;0
SESS-12737;2026-08-20 20:27:14;USR-1012;2003-04-12;F;Standard;2;240;200;Card;Deadlock;;0
SESS-14709;2026-08-03 14:05:19;USR-1649;2009-07-12;M;Standard;2;120;200;Cash;Valorant;;0
SESS-13690;2026-08-05 21:46:42;USR-1679;2011-04-06;M;Bootcamp;2;120;300;Card;Dota 2;4.0;0
SESS-13070;2026-08-22 15:15:09;USR-1438;2010-05-10;M;Standard;3;0;300;App;CS2;;0
SESS-11346;2026-08-08 17:04:34;USR-1767;2006-02-17;M;VIP;4;400;800;Card;Valorant;5.0;0
SESS-15110;2026-08-04 19:20:36;USR-1063;2005-12-17;F;Standard;1;0;100;App;Dota 2;4.5;0
SESS-11042;2026-08-15 18:06:55;USR-1606;1994-05-14;M;Standard;5;0;500;;PUBG;;0
SESS-10477;2026-08-30 19:45:56;USR-1355;2011-11-27;M;Standard;4;0;400;App;Valorant;2.0;0
SESS-10968;2026-08-26 18:47:44;USR-1273;2009-02-12;M;Bootcamp;3;0;450;Cash;Dota 2;;0
SESS-10717;2026-08-14 09:15:19;USR-1034;2011-05-20;F;Standard;3;180;300;Card;Dota 2;;0
SESS-13326;2026-08-20 16:44:43;USR-1132;2010-11-05;M;Standard;5;0;500;App;Valorant;4.5;0
SESS-12141;2026-08-23 02:21:02;USR-1737;2011-01-14;M;Standard;4;336;360;Cash;CS2;;1
SESS-10852;2026-08-09 22:26:38;USR-1724;2005-03-25;M;Standard;5;800;500;App;Dota 2;;0
SESS-12871;2026-08-29 10:24:42;USR-1152;1992-08-26;M;VIP;3;1470;540;Card;Cyberpunk 2077;4.5;1
SESS-14817;2026-08-10 20:10:17;USR-1210;2007-11-18;M;Standard;5;0;500;Card;CS2;;0
SESS-12525;2026-08-24 11:58:32;USR-1158;2006-01-06;M;VIP;1;0;200;Card;Dota 2;;0
SESS-12209;2026-08-02 21:37:30;USR-1620;2012-12-05;M;Standard;3;168;270;Cash;Dota 2;;1
SESS-13007;2026-08-19 16:08:46;USR-1450;1998-12-23;M;Bootcamp;4;1020;600;Card;CS2;;0
SESS-15426;2026-08-07 14:05:25;USR-1705;2009-02-04;M;Standard;2;120;200;Cash;Minecraft;4.0;0
SESS-13790;2026-08-19 21:13:34;USR-1650;2005-11-23;M;Standard;4;320;400;Card;Deadlock;;0
SESS-13755;2026-08-23 13:56:24;USR-1273;2009-02-12;M;VIP;3;168;540;App;CS2;;1
SESS-15431;2026-08-07 18:57:24;USR-1055;2004-02-26;M;PS5;1;0;250;Card;Deadlock;2.0;0
SESS-14887;2026-08-15 18:43:17;USR-1344;2004-06-25;M;Standard;4;0;360;Card;CS2;;1
SESS-12479;2026-08-03 23:26:01;USR-1281;2011-08-18;M;Bootcamp;12;960;1800;Card;CS2;3.0;0
SESS-11553;2026-08-22 00:19:35;USR-1602;1994-01-19;M;VIP;3;900;600;Card;Dota 2;;0
SESS-10460;2026-08-20 15:55:19;USR-1001;1992-12-07;M;PS5;5;750;1250;Card;Browser/Work;5.0;0
SESS-10181;2026-08-28 08:50:23;USR-1641;2001-10-10;M;Standard;8;0;720;Card;CS2;4.0;1
SESS-12562;2026-08-13 11:08:41;USR-1758;2012-09-07;M;Standard;2;80;200;Cash;Dota 2;;0
SESS-12993;2026-08-05 15:51:46;USR-1032;2007-01-28;M;VIP;3;882;540;Card;Dota 2;;1
SESS-11011;2026-08-03 12:40:10;USR-1502;2004-12-18;M;PS5;4;896;900;Card;CS2;;1
SESS-11766;2026-08-25 13:33:40;USR-1155;2012-05-12;F;Standard;3;0;300;Cash;GTA V;5.0;0
SESS-10701;2026-08-15 16:43:23;USR-1049;2008-01-16;F;Standard;1;0;100;App;CS2;4.0;0
SESS-14875;2026-08-31 16:53:25;USR-1769;2011-01-01;F;Standard;2;120;200;App;Valorant;;0
SESS-14963;2026-08-17 19:36:13;USR-1556;2010-07-24;M;Bootcamp;3;0;450;App;CS2;1.0;0
SESS-11461;2026-08-16 18:36:20;USR-1001;1992-12-07;M;PS5;2;756;450;Card;Cyberpunk 2077;;1
SESS-14482;2026-08-26 20:36:57;USR-1172;2008-07-13;M;Standard;1;120;100;App;CS2;;0
SESS-14729;2026-08-29 22:04:10;USR-1151;1996-03-26;M;PS5;8;1554;1800;Card;CS2;5.0;1
SESS-10228;2026-08-12 08:26:21;USR-1519;2001-10-14;M;Bootcamp;3;0;450;Card;CS2;4.5;0
SESS-13224;2026-08-01 16:27:54;USR-1637;1999-10-03;M;Bootcamp;4;1218;540;Card;CS2;4.0;1
SESS-13865;2026-08-15 12:33:11;USR-1796;2006-08-10;M;Standard;3;503;270;Card;Valorant;;1
SESS-13173;2026-08-08 18:41:57;USR-1500;2010-08-07;M;Standard;2;120;200;Cash;Deadlock;4.0;0
SESS-11669;2026-08-01 21:43:02;USR-1121;2011-01-17;M;Bootcamp;4;0;600;Card;CS2;;0
