session_id;date;user_id;birth_date;gender;pc_zone;hours_played;extra_bar_spent;total_paid;payment_method;game_played;client_rating;discount_promo
SESS-11307;2026-08-24 15:39:42;USR-1411;2005-06-17;M;Bootcamp;1;0;150;Card;Dota 2;;0
SESS-13703;2026-08-23 20:48:12;USR-1071;2009-09-27;M;Standard;2;0;200;Cash;Minecraft;4.5;0
SESS-11150;2026-08-26 21:23:59;USR-1393;2005-12-13;M;PS5;1;120;250;Card;Apex Legends;;0
SESS-15341;2026-08-07 12:17:34;USR-1697;2007-12-21;M;VIP;2;0;400;Card;CS2;;0
SESS-13668;2026-08-09 12:19:28;USR-1180;2009-05-04;M;Standard;3;240;300;App;Valorant;4.0;0
SESS-15321;2026-08-31 02:38:39;USR-1033;2011-10-23;M;Standard;2;0;200;App;Minecraft;;0
SESS-15655;2026-08-30 06:08:27;USR-1134;2003-03-07;M;VIP;1;310;200;Card;CS2;4.5;0
SESS-12119;2026-08-08 14:00:45;USR-1110;2003-09-22;M;Bootcamp;2;0;270;App;Dota 2;;1
SESS-12228;2026-08-20 15:05:19;USR-1387;2009-07-14;M;Standard;3;0;300;Cash;Valorant;4.5;0
SESS-15266;2026-08-16 08:33:45;USR-1417;1999-03-17;M;;PS5;1;400;App;CS2;;0
SESS-14745;2026-08-16 17:09:33;USR-1150;2004-08-07;M;Standard;4;480;400;Card;Dota 2;;0
SESS-12572;2026-08-04 13:25:02;USR-1096;2006-03-24;M;Standard;3;360;300;App;Dota 2;;0
SESS-12806;2026-08-27 00:02:58;USR-1667;1999-08-22;M;PS5;8;1590;2000;Cash;GTA V;5.0;0
SESS-14116;2026-08-22 00:45:35;USR-1025;2010-04-15;M;PS5;8;0;2000;App;CS2;2.0;0
SESS-10625;2026-08-29 16:50:13;USR-1131;2008-08-27;F;Bootcamp;3;0;450;App;CS2;4.0;0
SESS-12520;2026-08-01 13:16:21;USR-1587;2006-12-19;M;;Bootcamp;2;400;Card;Deadlock;5.0;0
SESS-11017;2026-08-25 06:48:49;USR-1779;2003-01-05;M;Bootcamp;1;310;150;Card;Dota 2;4.5;0
SESS-14684;2026-08-12 12:14:26;USR-1055;2009-12-22;M;Standard;12;0;1200;App;CS2;3.0;0
SESS-12965;2026-08-15 16:26:49;USR-1024;2011-02-28;M;VIP;1;0;200;Card;CS2;4.0;0
SESS-15593;2026-08-30 00:23:19;USR-1137;2000-11-12;M;PS5;3;900;750;Card;CS2;;0
SESS-12655;2026-08-22 22:03:47;USR-1498;2004-02-23;M;PS5;8;0;2000;App;CS2;;0
SESS-13451;2026-08-20 18:55:07;USR-1133;2006-10-15;M;Bootcamp;1;270;150;App;CS2;;0
