session_id;date;user_id;birth_date;gender;pc_zone;hours_played;extra_bar_spent;total_paid;payment_method;game_played;client_rating;discount_promo
SESS-10201;2026-08-07 16:43:44;USR-1126;2007-07-25;F;Standard;8;0;800;Card;CS2;;0
SESS-12195;2026-08-18 20:03:10;USR-1196;2005-03-06;M;Standard;1;0;100;Card;CS2;;0
SESS-12688;2026-08-20 23:37:30;USR-1583;2005-01-16;F;VIP;5;880;1000;Card;Dota 2;4.5;0
SESS-14244;2026-08-14 17:29:45;USR-1573;2005-11-17;M;Standard;3;503;270;App;Dota 2;;1
SESS-10889;2026-08-13 18:49:28;USR-1451;2008-10-16;M;Standard;2;320;200;Card;CS2;;0
SESS-13919;2026-08-12 20:31:08;USR-1129;2004-06-06;M;Standard;1;160;100;App;PUBG;;0
SESS-16130;2026-08-07 09:04:38;USR-1334;2003-06-20;F;Standard;2;448;180;Card;Valorant;;1
SESS-13664;2026-08-15 21:11:28;USR-1140;2011-01-12;M;Standard;2;0;200;Cash;Dota 2;;0
SESS-15471;2026-08-06 17:03:32;USR-1734;2012-09-08;M;Standard;2;80;200;Cash;Dota 2;2.0;0
SESS-15766;2026-08-30 11:46:13;USR-1181;2006-05-10;M;Bootcamp;3;0;450;Card;Dota 2;4.0;0
SESS-13528;2026-08-20 21:10:31;USR-1021;2007-10-26;M;Bootcamp;2;0;300;App;Dota 2;;0
SESS-15908;2026-08-30 14:51:21;USR-1232;1886-09-20;M;Standard;999;336;270;Cash;CS2;4.0;1
SESS-16345;28.08.2026 15:20:48;USR-1081;2004-11-19;M;Standard;3;0;300;App;Dota 2;4.0;0
SESS-13775;2026-08-31 09:18:09;USR-1301;1993-07-05;M;PS5;2;540;500;Card;Browser/Work;;0
SESS-14113;2026-08-01 22:44:15;USR-1152;2004-08-07;M;Bootcamp;5;0;750;Card;CS2;;0
SESS-11450;2026-08-07 18:57:10;USR-1227;1999-08-15;M;Bootcamp;3;1260;405;Card;CS2;4.0;1
SESS-12849;2026-08-29 09:25:30;USR-1551;1998-09-03;M;VIP;1;420;200;Card;CS2;4.5;0
SESS-13279;2026-08-28 14:33:04;USR-1276;2009-03-04;M;Standard;2;120;200;Cash;Minecraft;;0
SESS-14959;2026-08-16 18:31:46;USR-1731;2002-06-26;M;PS5;2;240;500;Cash;Deadlock;;0
SESS-13657;2026-08-16 09:59:27;USR-1777;2002-08-15;M;Standard;8;0;800;Card;CS2;;0
