session_id;user_id;pc_id;date;hours_played;discount_promo
SESS-10000;USR-1103;PC-18;2026-08-18 14:18:00;2;0
SESS-10001;USR-1221;PC-17;2026-08-18 10:03:00;1;0
SESS-10002;USR-1070;PC-19;2026-08-01 12:04:00;1;0
SESS-10003;USR-1092;PC-22;2026-08-03 19:55:00;8;1
SESS-10004;USR-1313;PC-29;2026-08-13 09:53:00;3;1
SESS-10005;USR-1354;PC-24;2026-08-13 17:35:00;4;1
SESS-10006;USR-1011;PC-32;2026-08-27 20:26:00;2;1
SESS-10007;USR-1371;PC-12;2026-08-23 11:53:00;1;0
SESS-10008;USR-1405;PC-19;2026-08-08 13:34:00;1;0
SESS-10009;USR-1124;PC-09;2026-08-12 23:01:00;8;0
SESS-10010;USR-1409;PC-09;2026-08-27 19:36:00;2;1
SESS-10011;USR-1024;PC-34;2026-08-18 12:31:00;2;0
SESS-10012;USR-1229;PC-11;2026-08-13 23:39:00;2;1
SESS-10013;USR-1162;PC-33;2026-08-28 10:07:00;3;0
SESS-10014;USR-1312;PC-35;2026-08-31 11:12:00;1;0
SESS-10015;USR-1085;PC-30;2026-08-24 12:32:00;3;1
SESS-10016;USR-1061;PC-04;2026-08-26 10:31:00;2;0
SESS-10017;USR-1043;PC-03;2026-08-30 22:38:00;1;0
SESS-10018;USR-1321;PC-32;2026-08-30 09:41:00;3;0
SESS-10019;USR-1123;PC-36;2026-08-19 11:00:00;3;1
SESS-10020;USR-1088;PC-21;2026-08-10 21:25:00;3;0
SESS-10021;USR-1238;PC-36;2026-08-02 19:01:00;4;0
SESS-10022;USR-1438;PC-13;2026-08-13 20:01:00;1;1
SESS-10023;USR-1149;PC-08;2026-08-10 17:58:00;2;0
SESS-10024;USR-1262;PC-19;2026-08-20 13:32:00;2;0
SESS-10025;USR-1419;PC-26;2026-08-19 20:30:00;2;1
SESS-10026;USR-1112;PC-20;2026-08-19 13:15:00;8;0
SESS-10027;USR-1229;PC-34;2026-08-08 09:20:00;1;0
SESS-10028;USR-1245;PC-02;2026-08-10 18:22:00;4;1
SESS-10029;;PC-37;2026-08-01 15:48:00;2;0
SESS-10030;USR-1305;PC-20;2026-08-08 13:37:00;3;1
SESS-10031;USR-1185;PC-02;2026-08-25 23:24:00;3;0
SESS-10032;USR-1291;PC-27;2026-08-10 10:17:00;1;0
SESS-10033;USR-1438;PC-15;2026-08-28 22:31:00;2;1
SESS-10034;USR-1385;PC-17;2026-08-24 21:36:00;1;0
SESS-10035;USR-1110;PC-17;2026-08-29 18:38:00;2;0
SESS-10036;USR-1179;PC-11;2026-08-16 09:07:00;1;0
SESS-10037;USR-1122;PC-21;2026-08-12 18:52:00;4;0
SESS-10038;USR-1313;PC-03;2026-08-05 13:27:00;2;0
SESS-10039;USR-1170;PC-10;2026-08-22 10:15:00;1;1
SESS-10040;USR-1347;PC-24;2026-08-11 12:26:00;1;0
SESS-10041;USR-1424;PC-35;2026-08-17 21:49:00;2;0
SESS-10042;USR-1062;PC-11;2026-08-31 23:35:00;2;0
SESS-10043;USR-1031;PC-30;2026-08-22 17:36:00;2;0
SESS-10044;USR-1435;PC-04;2026-08-17 14:55:00;2;0
SESS-10045;USR-1111;PC-31;2026-08-14 11:16:00;4;0
SESS-10046;USR-1347;PC-15;2026-08-22 13:16:00;1;0
SESS-10047;USR-1413;PC-24;2026-08-09 09:10:00;3;1
SESS-10048;USR-1419;PC-06;2026-08-02 21:38:00;1;1
SESS-10049;USR-1364;PC-04;2026-08-15 15:19:00;5;0
SESS-10050;USR-1414;PC-02;2026-08-24 12:45:00;2;0
SESS-10051;USR-1380;PC-24;2026-08-22 23:24:00;1;1
SESS-10052;USR-1035;PC-35;2026-08-13 21:18:00;2;0
SESS-10053;USR-1010;PC-22;2026-08-03 10:36:00;1;1
SESS-10054;USR-1074;PC-12;2026-08-30 21:42:00;2;0
SESS-10055;USR-1308;PC-12;2026-08-28 13:24:00;5;0
SESS-10056;USR-1418;PC-18;2026-08-15 15:49:00;4;0
SESS-10057;;PC-04;2026-08-11 14:59:00;3;0
