pc_id;pc_zone;hourly_rate;gpu
PC-01;Standard;100;RTX 2060
PC-02;Standard;100;RTX 2060
PC-03;Standard;100;RTX 3050
PC-04;Standard;100;RTX 2060
PC-05;Standard;100;RTX 2060
PC-06;Standard;100;RTX 2060
PC-07;Standard;100;RTX 3050
PC-08;Standard;100;GTX 1660 Super
PC-09;Standard;100;RTX 2060
PC-10;Standard;100;RTX 3050
PC-11;Standard;100;RTX 3050
PC-12;Standard;100;RTX 3050
PC-13;Standard;100;RTX 3050
PC-14;Standard;100;GTX 1660 Super
PC-15;Standard;100;RTX 2060
PC-16;Standard;100;RTX 2060
PC-17;Standard;100;RTX 3050
PC-18;Standard;100;GTX 1660 Super
PC-19;Standard;100;RTX 2060
PC-20;Standard;100;RTX 3050
PC-21;Bootcamp;150;RTX 4060
PC-22;Bootcamp;150;RTX 3060
PC-23;Bootcamp;150;RTX 3060
PC-24;Bootcamp;150;RTX 3060 Ti
PC-25;Bootcamp;150;RTX 3060
PC-26;Bootcamp;150;RTX 4060
PC-27;Bootcamp;150;RTX 4060
PC-28;Bootcamp;150;RTX 3060 Ti
PC-29;Bootcamp;150;RTX 4060
PC-30;Bootcamp;150;RTX 3060
PC-31;VIP;200;RTX 4070 Ti
PC-32;VIP;200;RTX 4070
PC-33;VIP;200;RTX 4080
PC-34;VIP;200;RTX 4070
PC-35;VIP;200;RTX 4080
PC-36;VIP;200;RTX 4080
PC-37;PS5;250;Sony PlayStation 5
PC-38;PS5;250;Sony PlayStation 5 Slim
PC-39;PS5;250;Sony PlayStation 5 Slim
PC-40;PS5;250;Sony PlayStation 5
