user_id;cohort;birth_date;gender
USR-3000;2026-Q2;1995-01-03;M
USR-3001;2025-Q4;2009-07-22;F
USR-3002;2025-Q3;1997-05-14;M
USR-3003;2026-Q1;2005-12-26;M
USR-3004;2026-Q3;1997-06-28;M
USR-3005;2026-Q2;2010-12-21;M
USR-3006;2026-Q1;1993-01-16;M
USR-3007;2026-Q2;2005-06-14;M
USR-3008;2026-Q2;2008-02-18;M
USR-3009;2026-Q2;2002-11-12;M
USR-3010;2025-Q4;1996-03-15;M
USR-3011;2026-Q2;1996-04-04;M
USR-3012;2025-Q3;2004-09-28;M
USR-3013;2025-Q4;2005-05-18;M
USR-3014;2026-Q1;2008-05-21;M
USR-3015;2025-Q3;1996-10-09;F
USR-3016;2025-Q4;1996-09-02;M
USR-3017;2026-Q1;2004-08-07;M
USR-3018;2026-Q1;2004-12-12;M
USR-3019;2026-Q2;2007-02-19;M
USR-3020;2025-Q3;2010-02-05;M
USR-3021;2026-Q2;2005-04-03;M
USR-3022;2026-Q3;1997-05-28;M
USR-3023;2026-Q2;2008-01-10;F
USR-3024;2025-Q4;2003-06-01;M
USR-3025;2026-Q2;2010-02-24;M
USR-3026;2025-Q4;2005-08-14;M
USR-3027;2026-Q2;2007-12-10;M
USR-3028;2026-Q3;1993-02-27;M
USR-3029;2026-Q2;2006-01-16;M
USR-3030;2025-Q3;2003-10-25;M
USR-3031;2026-Q3;1997-12-02;F
USR-3032;2025-Q4;2005-07-20;F
USR-3033;2025-Q3;2005-12-21;M
USR-3034;2026-Q2;1996-01-09;M
USR-3035;2026-Q3;2005-12-14;M
USR-3036;2026-Q1;2012-03-16;M
USR-3037;2026-Q1;2005-02-03;M
USR-3038;2025-Q3;1997-02-06;M
USR-3039;2025-Q4;1996-09-16;F
USR-3040;2026-Q2;1996-03-21;M
USR-3041;2026-Q1;1993-01-05;M
USR-3042;2025-Q4;2004-02-24;M
USR-3043;2025-Q3;1999-02-28;M
USR-3044;2026-Q1;2007-05-04;F
USR-3045;2025-Q4;2005-08-13;M
