session_id;user_id;pc_id;pc_zone;date;hours_played;pc_paid;discount_promo;bar_orders
SESS-30000;USR-3340;PC-34;Standard;2026-08-29 11:14:00;1;100;0;[]
SESS-30001;USR-3010;PC-36;Bootcamp;2026-08-28 21:58:00;2;300;0;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30002;USR-3411;PC-39;Standard;2026-08-22 07:19:00;2;200;0;[]
SESS-30003;USR-3296;PC-37;Bootcamp;2026-08-27 23:51:00;4;600;0;"[{""item_id"": ""BAR-07"", ""qty"": 1, ""price"": 280}, {""item_id"": ""BAR-06"", ""qty"": 1, ""price"": 160}]"
SESS-30004;USR-3430;PC-36;Standard;2026-08-29 19:51:00;3;270;1;"[{""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}]"
SESS-30005;USR-3269;PC-37;Standard;2026-08-15 11:40:00;2;200;0;"[{""item_id"": ""BAR-13"", ""qty"": 1, ""price"": 90}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}]"
SESS-30006;USR-3597;PC-21;VIP;2026-08-11 06:59:00;2;400;0;"[{""item_id"": ""BAR-11"", ""qty"": 1, ""price"": 220}, {""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30007;USR-3269;PC-44;Standard;2026-08-09 07:55:00;3;300;0;[]
SESS-30008;USR-3210;PC-24;Standard;2026-08-13 01:29:00;2;200;0;"[{""item_id"": ""BAR-15"", ""qty"": 1, ""price"": 140}]"
SESS-30009;USR-3274;PC-37;Standard;2026-08-08 08:46:00;5;500;0;[]
SESS-30010;USR-3010;PC-38;PS5;2026-08-22 01:19:00;2;500;0;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30011;USR-3551;PC-02;Bootcamp;2026-08-28 19:56:00;2;300;0;[]
SESS-30012;USR-3397;PC-02;Standard;2026-08-13 17:43:00;1;100;0;"[{""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}]"
SESS-30013;USR-3169;PC-30;Standard;2026-08-25 04:31:00;1;100;0;"[{""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}, {""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}, {""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30014;USR-3177;PC-28;PS5;2026-08-24 01:35:00;2;500;0;"[{""item_id"": ""BAR-10"", ""qty"": 1, ""price"": 90}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}, {""item_id"": ""BAR-15"", ""qty"": 2, ""price"": 140}]"
SESS-30015;USR-3512;PC-27;Bootcamp;2026-08-01 17:32:00;2;300;0;[]
SESS-30016;USR-3316;PC-41;PS5;2026-08-06 04:29:00;2;500;0;[]
SESS-30017;USR-3628;PC-02;Standard;2026-08-05 22:45:00;2;200;0;[]
SESS-30018;USR-3511;PC-06;Bootcamp;2026-08-19 09:20:00;2;300;0;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}]"
SESS-30019;USR-3117;PC-29;Standard;2026-08-16 23:31:00;2;200;0;[]
SESS-30020;USR-3021;PC-24;Standard;2026-08-12 21:50:00;3;270;1;"[{""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}]"
SESS-30021;USR-3025;PC-08;VIP;2026-08-13 05:31:00;2;400;0;"[{""item_id"": ""BAR-04"", ""qty"": 1, ""price"": 100}]"
SESS-30022;USR-3640;PC-25;Standard;2026-08-15 11:17:00;8;720;1;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}, {""item_id"": ""BAR-13"", ""qty"": 1, ""price"": 90}]"
SESS-30023;USR-3634;PC-05;Standard;2026-08-25 02:22:00;2;200;0;[]
SESS-30024;USR-3498;PC-34;Standard;2026-08-29 01:26:00;3;270;1;[]
SESS-30025;USR-3471;PC-43;VIP;2026-08-20 19:32:00;3;540;1;"[{""item_id"": ""BAR-06"", ""qty"": 1, ""price"": 160}]"
SESS-30026;USR-3382;PC-43;VIP;2026-08-10 01:49:00;3;600;0;"[{""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}, {""item_id"": ""BAR-06"", ""qty"": 2, ""price"": 160}, {""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30027;USR-3529;PC-06;Standard;2026-08-24 12:54:00;4;400;0;"[{""item_id"": ""BAR-15"", ""qty"": 3, ""price"": 140}]"
SESS-30028;USR-3034;PC-02;Bootcamp;2026-08-28 04:57:00;2;300;0;[]
SESS-30029;;PC-29;Bootcamp;2026-08-06 14:59:00;2;300;0;[]
SESS-30030;USR-3299;PC-36;VIP;2026-08-09 09:48:00;2;400;0;"[{""item_id"": ""BAR-02"", ""qty"": 2, ""price"": 200}]"
SESS-30031;USR-3623;PC-18;Bootcamp;2026-08-17 08:50:00;3;405;1;"[{""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}]"
SESS-30032;USR-3334;PC-02;PS5;2026-08-29 18:06:00;1;250;0;"[{""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}, {""item_id"": ""BAR-01"", ""qty"": 2, ""price"": 120}]"
SESS-30033;USR-3600;PC-23;Bootcamp;2026-08-30 20:24:00;2;300;0;"[{""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}, {""item_id"": ""BAR-06"", ""qty"": 1, ""price"": 160}]"
