user_id;birth_date;gender;loyalty_tier
USR-2000;2006-11-03;M;Gold
USR-2001;2005-01-28;M;Standard
USR-2002;1996-07-01;M;Standard
USR-2003;2003-03-01;M;Standard
USR-2004;2005-12-24;M;Bronze
USR-2005;2011-07-05;M;Bronze
USR-2006;2012-10-02;M;Bronze
USR-2007;1999-10-11;F;Silver
USR-2008;2007-09-14;M;Silver
USR-2009;2007-04-08;M;Bronze
USR-2010;2011-03-03;M;Standard
USR-2011;1995-03-21;F;Bronze
USR-2012;2008-12-23;M;Standard
USR-2013;2005-03-28;F;Standard
USR-2014;2005-09-16;F;Silver
USR-2015;2008-03-25;M;Bronze
USR-2016;2009-11-13;M;Silver
USR-2017;1995-10-12;F;Bronze
USR-2018;2006-02-16;M;Standard
USR-2019;1996-07-28;M;Silver
USR-2020;2005-11-17;F;Silver
USR-2021;2011-01-22;M;Bronze
USR-2022;2006-01-12;F;Gold
USR-2023;1999-03-21;M;Bronze
USR-2024;2012-12-26;M;Standard
USR-2025;2007-10-06;M;Bronze
USR-2026;2004-12-27;M;Standard
USR-2027;2008-10-05;M;Bronze
USR-2028;2010-01-27;M;Standard
USR-2029;2005-07-15;F;Standard
USR-2030;2012-05-15;M;Bronze
USR-2031;2005-04-27;M;Standard
USR-2032;2010-06-09;M;Silver
USR-2033;2005-05-14;M;Silver
USR-2034;2005-06-08;M;Bronze
USR-2035;2005-01-01;M;Standard
USR-2036;1996-05-03;M;Standard
USR-2037;1996-05-18;M;Standard
USR-2038;2007-10-24;M;Bronze
USR-2039;2005-09-05;M;Standard
USR-2040;2010-10-14;M;Standard
USR-2041;2009-07-24;M;Standard
USR-2042;2005-06-07;F;Silver
USR-2043;2005-09-28;F;Silver
USR-2044;2010-06-27;M;Standard
USR-2045;2009-06-09;M;Standard
USR-2046;2001-02-03;F;Bronze
USR-2047;2010-09-02;F;Bronze
USR-2048;2009-08-22;M;Bronze
USR-2049;2010-12-27;F;Gold
USR-2050;1996-11-17;M;Standard
USR-2051;2012-05-02;M;Bronze
USR-2052;2012-11-11;M;Bronze
USR-2053;2009-10-22;M;Standard
USR-2054;2011-01-25;M;Silver
USR-2055;2005-10-11;M;Standard
USR-2056;2006-05-06;F;Silver
USR-2057;2012-06-16;F;Standard
USR-2058;2006-10-23;M;Bronze
USR-2059;1995-09-08;M;Standard
USR-2060;1997-04-17;F;Silver
USR-2061;2005-12-22;F;Gold
USR-2062;2011-12-09;M;Standard
USR-2063;2004-12-15;M;Standard
USR-2064;2005-02-03;M;Bronze
