user_id;birth_date;gender;loyalty_tier
USR-1000;2002-08-10;M;Bronze
USR-1001;1997-10-09;M;Bronze
USR-1002;1996-03-17;M;Bronze
USR-1003;2008-04-25;M;Bronze
USR-1004;1996-11-01;M;Silver
USR-1005;2004-04-12;M;Silver
USR-1006;1998-02-09;F;Silver
USR-1007;2005-12-25;M;Gold
USR-1008;2007-06-08;M;Silver
USR-1009;2005-04-04;M;Gold
USR-1010;1996-10-23;F;Bronze
USR-1011;2010-12-23;M;Bronze
USR-1012;2005-04-14;F;Silver
USR-1013;2010-10-26;M;Platinum
USR-1014;2005-02-02;M;Bronze
USR-1015;2007-02-26;F;Bronze
USR-1016;2005-05-09;M;Silver
USR-1017;1996-11-13;M;Bronze
USR-1018;2007-07-09;M;Bronze
USR-1019;2002-10-08;F;Silver
USR-1020;1998-12-03;M;Bronze
USR-1021;2011-06-22;M;Silver
USR-1022;2004-03-28;M;Bronze
USR-1023;1996-08-07;M;Bronze
USR-1024;2011-12-25;M;Bronze
USR-1025;2011-02-11;F;Gold
USR-1026;2012-09-26;M;Bronze
USR-1027;2004-11-12;M;Bronze
USR-1028;1993-07-01;M;Bronze
USR-1029;2001-11-22;M;Bronze
USR-1030;2005-01-24;M;Bronze
USR-1031;2005-01-26;M;Bronze
USR-1032;2003-04-16;M;Silver
USR-1033;2005-12-19;M;Gold
USR-1034;2006-09-12;M;Bronze
USR-1035;2012-05-03;M;Bronze
USR-1036;2005-03-12;F;Bronze
USR-1037;2003-07-01;M;Bronze
USR-1038;1996-05-20;M;Silver
USR-1039;2012-08-07;M;Bronze
USR-1040;2004-09-18;M;Platinum
USR-1041;1996-11-23;M;Bronze
USR-1042;2004-04-24;M;Silver
USR-1043;2008-04-25;M;Silver
USR-1044;2005-09-21;M;Bronze
USR-1045;2005-02-05;M;Bronze
USR-1046;2005-01-09;M;Bronze
USR-1047;1996-10-17;M;Silver
USR-1048;1998-01-22;M;Platinum
USR-1049;2004-09-05;F;Silver
USR-1050;2006-04-15;M;Bronze
USR-1051;2005-10-05;M;Bronze
USR-1052;2010-04-03;M;Bronze
USR-1053;2009-01-23;F;Bronze
USR-1054;2001-08-05;M;Bronze
USR-1055;1998-06-08;M;Bronze
USR-1056;2006-01-02;M;Bronze
USR-1057;1998-11-11;M;Bronze
USR-1058;1994-05-22;M;Platinum
USR-1059;1995-02-19;M;Gold
USR-1060;2001-07-21;M;Bronze
USR-1061;1998-06-04;M;Bronze
USR-1062;2004-07-02;F;Silver
USR-1063;1995-06-25;M;Bronze
USR-1064;1995-10-13;M;Bronze
USR-1065;1992-02-22;M;Bronze
USR-1066;2010-07-27;F;Bronze
USR-1067;2005-03-03;M;Bronze
USR-1068;2010-06-23;F;Bronze
USR-1069;2004-05-11;F;Bronze
USR-1070;1995-01-14;M;Silver
USR-1071;2005-10-09;F;Gold
USR-1072;2004-09-19;M;Bronze
USR-1073;2005-12-16;M;Bronze
USR-1074;2011-04-24;M;Bronze
USR-1075;2006-02-10;M;Silver
USR-1076;2004-09-12;M;Bronze
USR-1077;1998-08-08;M;Bronze
USR-1078;1998-11-02;M;Bronze
USR-1079;2005-08-27;M;Silver
USR-1080;2002-01-19;M;Silver
USR-1081;2004-02-06;M;Bronze
USR-1082;2005-06-15;F;Platinum
USR-1083;2008-06-10;M;Bronze
USR-1084;2012-08-07;F;Silver
USR-1085;2004-05-12;M;Bronze
USR-1086;1995-01-18;M;Silver
USR-1087;2010-09-18;F;Silver
USR-1088;2005-01-20;M;Bronze
USR-1089;1993-04-24;M;Bronze
USR-1090;2009-08-02;M;Bronze
USR-1091;1996-06-20;M;Bronze
USR-1092;2011-11-22;M;Bronze
USR-1093;2006-11-01;M;Bronze
USR-1094;2002-02-16;M;Bronze
USR-1095;2011-06-20;M;Platinum
USR-1096;2010-04-04;M;Silver
USR-1097;1996-01-06;M;Gold
USR-1098;2005-11-24;M;Bronze
USR-1099;1993-10-10;M;Bronze
USR-1100;2005-09-11;M;Bronze
USR-1101;2005-06-07;M;Bronze
USR-1102;2001-03-26;F;Bronze
USR-1103;2007-03-08;M;Bronze
USR-1104;2005-07-22;M;Bronze
USR-1105;2005-11-03;M;Bronze
USR-1106;1998-08-20;M;Gold
USR-1107;2012-03-22;M;Bronze
USR-1108;2006-01-05;M;Platinum
USR-1109;2010-06-01;M;Silver
USR-1110;2004-06-09;M;Silver
USR-1111;2010-08-06;M;Platinum
USR-1112;1997-11-19;M;Bronze
USR-1113;2009-03-24;M;Gold
USR-1114;2010-12-25;M;Silver
USR-1115;2008-08-03;M;Bronze
USR-1116;2005-10-10;M;Bronze
USR-1117;2005-03-08;F;Bronze
USR-1118;2011-11-13;M;Silver
USR-1119;2009-07-09;M;Bronze
USR-1120;2009-04-13;M;Silver
USR-1121;2005-09-28;M;Gold
USR-1122;2011-07-06;M;Silver
USR-1123;1995-05-23;M;Bronze
USR-1124;2002-08-03;M;Bronze
